LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
4495,227,83.9525,16316.8251,177,0,0,0,0,0,0,0,0,1,0,0,Off Track,9,83.7044,16241.9756,0.2964001892373602,74.84950000000026
7962,268,89.023,11220.6005,113,1,0,0,0,0,0,0,0,0,0,0,,13,87.8372,11051.2648,1.3499974953664235,169.33569999999963
122,7,83.8329,987.0965,3,1,0,0,0,0,0,0,0,0,0,0,,16,83.0941,593.6354,0.8891124640618244,393.4611
5090,234,84.5884,3935.8361,39,1,0,0,0,0,0,0,0,0,0,0,,14,83.4921,3918.1543,1.3130583612102384,17.68179999999984
1883,90,-0.0001,2956.5982,24,0,0,0,1,0,1,1,0,0,1,0,"Car Reset, Discontinuity, Invalid, In Pits",5,,2654.4994,,302.09879999999976
3041,211,84.5437,9214.1092,95,1,0,0,0,0,0,0,0,0,0,0,,3,84.2737,9207.1092,0.32038465143929784,7.0
3108,211,84.7124,15005.4854,162,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,84.2011,14981.1223,0.6072367225606286,24.363099999998667
6376,248,89.6382,14636.8875,152,1,0,0,0,0,0,0,0,0,0,0,,4,87.7822,14581.0102,2.114323860645996,55.877300000000105
6896,254,87.7843,11738.0093,120,1,0,0,0,0,0,0,0,0,0,0,,3,87.7843,11690.9241,0.0,47.08519999999953
7684,264,88.0765,13868.1863,143,1,0,0,0,0,0,0,0,0,0,0,,8,87.7729,13752.8815,0.3458926388440915,115.30479999999989
8571,275,114.1965,4746.8515,45,1,0,0,0,0,0,0,0,0,0,0,,1,114.1965,4746.8515,0.0,0.0
1211,58,87.6695,1352.1674,3,0,0,0,0,0,0,0,0,1,0,0,Off Track,13,86.4253,601.0448,1.4396247395149544,751.1226
2702,180,88.1744,650.9223,7,0,0,0,0,0,0,0,0,1,0,0,Off Track,2,87.8468,633.0822,0.37292195048652843,17.840100000000007
2753,191,91.1837,395.8197,4,1,0,0,0,0,0,0,0,0,0,0,,3,91.1837,362.1223,0.0,33.697400000000016
7132,257,160.4079,3169.9515,23,1,0,0,0,0,0,0,0,0,0,0,,19,84.1931,2184.5703,90.52380777047051,985.3812000000003
8908,279,90.8508,14364.6464,144,1,0,0,0,0,0,0,0,0,0,0,,6,90.5677,14282.525,0.31258384611732026,82.1214
9025,281,93.7736,9254.3045,89,1,0,0,0,0,0,0,0,0,0,0,,6,90.8795,9198.1992,3.1845465699085196,56.10530000000108
10698,304,88.7987,1147.9256,10,1,0,0,0,0,0,0,0,0,0,0,,17,87.9562,1131.1526,0.9578631182338455,16.77300000000014
7909,268,88.5206,6418.7902,60,1,0,0,0,0,0,0,0,0,0,0,,15,87.9476,6308.3137,0.6515243167522442,110.47650000000067
9596,287,91.2492,6727.0819,62,1,0,0,0,0,0,0,0,0,0,0,,11,90.9069,6687.9569,0.37653907459170455,39.125
562,26,84.1088,816.9967,5,0,0,0,0,0,0,0,0,1,0,0,Off Track,3,83.198,784.4993,1.0947378542753654,32.497400000000084
1007,46,88.4985,2676.226,22,1,0,0,0,0,0,0,0,0,0,0,,4,86.9103,2345.0126,1.8274013551903465,331.2134000000001
1229,58,88.549,3691.99,21,0,0,0,0,0,0,0,0,1,0,0,Off Track,12,86.7205,2257.1118,2.1084979906711965,1434.8781999999997
1724,82,91.755,5887.9809,38,0,0,0,0,0,0,0,0,1,0,0,Off Track,4,90.8259,3979.2754,1.0229460979742555,1908.7054999999996
