LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,SessionEntryID,LapTimeLoss,PitInstanceInSession
3515,216,92.8759,14679.2589,158,157,3.173983974358933,4
3582,218,151.9156,7021.5169,69,158,60.84353379310342,3
3583,218,92.7584,7114.2753,70,158,1.686333793103401,3
3620,218,150.5068,10313.9405,107,158,59.434733793103405,4
3621,218,91.8521,10405.7926,108,158,0.7800337931033994,4
3658,218,150.5223,13595.8172,145,158,59.45023379310341,5
3659,218,93.3302,13689.1474,146,158,2.2581337931034113,5
3705,219,145.7383,979.2404,8,158,54.666233793103416,1
3706,219,93.1869,1072.4273,9,158,2.1148337931034007,1
3723,219,159.1312,2598.9277,26,158,68.05913379310341,2
3724,219,102.592,2701.5197,27,158,11.519933793103405,2
3792,220,150.8604,2531.3272,26,159,60.76873537414966,1
3793,220,144.6156,7097.887,70,159,54.52393537414966,2
3829,220,96.3135,10158.7752,106,159,6.221835374149663,3
3830,220,145.891,13677.3167,146,159,55.79933537414965,4
3868,221,167.0185,2698.3457,27,159,76.92683537414965,1
3910,221,94.7934,6953.2714,69,159,4.7017353741496635,2
3911,221,149.1003,10307.8755,107,159,59.00863537414966,3
3949,221,96.0257,13531.4257,145,159,5.9340353741496585,4
3976,222,197.5671,2571.8479,26,160,107.53622222222225,1
3977,222,117.325,2689.1729,27,160,27.294122222222242,1
4001,222,213.6853,5252.7603,51,160,123.65442222222225,2
4002,222,119.8547,5372.615,52,160,29.823822222222233,2
4033,222,148.4707,13937.6156,149,160,58.43982222222223,5
4034,222,91.501,14029.1166,150,160,1.470122222222244,5
4068,223,147.7416,8204.3931,83,160,57.710722222222245,3
4069,223,92.3609,8296.754,84,160,2.33002222222224,3
4099,223,150.5705,10903.1882,114,160,60.53962222222225,4
4100,223,91.4896,10994.6778,115,160,1.4587222222222351,4
4160,224,188.2355,2583.0165,26,161,97.25624025157235,1
4161,224,110.9061,2693.9226,27,161,19.926840251572344,1
4205,224,142.0821,7166.1271,71,161,51.102840251572346,2
4206,224,91.7768,7257.9039,72,161,0.7975402515723431,2
4229,224,130.4139,9255.3416,95,161,39.43464025157236,3
4230,224,91.0581,9346.3997,96,161,0.07884025157234476,3
4248,225,139.5545,10925.1106,114,161,48.57524025157234,4
4249,225,91.8066,11016.9172,115,161,0.8273402515723518,4
4280,225,132.7851,13696.1916,146,161,41.80584025157235,5
4281,225,90.8155,13787.0071,147,161,-0.16375974842765118,5
4344,226,148.6222,2520.5499,26,162,57.86113571428572,1
4345,226,167.7647,2688.3146,27,162,77.00363571428574,1
4369,226,166.3719,5204.714,51,162,75.61083571428574,2
4370,226,167.2039,5371.9179,52,162,76.44283571428574,2
4411,226,93.2876,8999.6352,93,162,2.5265357142857283,3
4412,226,148.359,9147.9942,94,162,57.59793571428574,3
4432,226,93.3571,10851.0101,114,162,2.5960357142857333,4
4433,227,172.7747,11023.7848,115,162,82.01363571428573,4
4469,227,95.1114,14064.4054,151,162,4.350335714285734,5
4470,227,146.1295,14210.5349,152,162,55.36843571428574,5
4528,228,154.0187,2546.7726,26,163,63.343357241379294,1
4529,228,154.1853,2700.9579,27,163,63.50995724137931,1
4553,228,164.8886,5210.5552,51,163,74.2132572413793,2
4554,228,158.1301,5368.6853,52,163,67.4547572413793,2
4594,228,96.2822,8925.3905,92,163,5.606857241379302,3
4595,229,148.7643,9074.1548,93,163,58.08895724137929,3
4611,229,95.8261,10441.996,109,163,5.150757241379296,4
4612,229,121.2596,10563.2556,110,163,30.584257241379305,4
4646,229,147.055,13531.7683,144,163,56.379657241379306,5
4685,230,159.4557,7268.0839,72,164,67.89036853146852,2
4686,230,109.4476,7377.5315,73,164,17.88226853146851,2
4722,230,94.8362,10444.1992,109,164,3.2708685314685226,3
4723,230,147.7755,10591.9747,110,164,56.21016853146851,3
4760,230,94.2258,13726.2802,147,164,2.660468531468524,4
4761,230,147.5028,13873.783,148,164,55.937468531468525,4
4822,231,150.078,2518.5921,26,164,58.51266853146852,1
4823,231,168.643,2687.2351,27,164,77.07766853146852,1
4867,231,93.4345,7108.6282,71,164,1.8691685314685174,2
4868,232,153.1011,8206.1918,83,165,63.00768367346936,2
4869,232,106.1968,8312.3886,84,165,16.103383673469352,2
4906,232,150.9094,11513.9055,121,165,60.81598367346936,3
4907,232,106.6445,11620.55,122,165,16.55108367346935,3
4944,232,142.1833,14807.621,159,165,52.08988367346936,4
4945,232,115.2235,14922.8445,160,165,25.130083673469358,4
5009,233,151.6305,4160.6537,41,165,61.53708367346937,1
5010,233,94.3822,4255.0359,42,165,4.288783673469354,1
5077,234,154.9426,2543.5264,26,166,64.5834833333333,1
5078,234,155.5449,2699.0713,27,166,65.18578333333332,1
5102,234,165.1499,5208.785,51,166,74.79078333333331,2
5103,234,159.1736,5367.9586,52,166,68.8144833333333,2
5133,234,142.8388,8136.0591,82,166,52.4796833333333,3
5158,234,95.8972,10275.3522,107,166,5.538083333333304,4
5159,235,142.0542,10417.4064,108,166,51.695083333333315,4
5198,235,94.985,13772.6824,147,166,4.625883333333306,5
5199,235,165.6348,13938.3172,148,166,75.27568333333332,5
5233,236,154.5578,8826.6586,89,167,64.30163461538463,4
5234,236,92.1476,8918.8062,90,167,1.8914346153846395,4
5271,236,153.5093,12121.3381,127,167,63.25313461538464,5
5272,236,91.6945,12213.0326,128,167,1.4383346153846475,5
